year,Cork,Kerry,Knock,Shannon,Sligo,Waterford,Galway,Dublin,Donegal,total
2007,879210,133184,266962,1493311,3799,59433,104677,8847687,6712,11794975
2008,912946,147844,304939,1335383,4570,68998,90359,8873391,8544,11746974
2009,855948,126340,294153,1189438,0,55248,66869,8064478,5842,10658316
2010,798054,157632,288611,718504,42,50332,56520,7468450,5756,9543901
2011,816275,140397,321820,666863,39,38237,34547,7690608,5257,9714043
2012,800913,126882,338698,626861,0,38520,0,7764296,4182,9700352
2013,781158,135527,328398,640534,0,13680,0,8173312,5003,10077612
2014,793005,127973,347140,763446,0,16086,0,8741572,5402,10794624
2015,817576,131047,338497,808630,0,16600,0,9939488,5066,12056904
2016,849192,138468,362222,821219,0,6508,0,10960422,5899,13143930
