type,visitors,amount
business,1119,528
business,1038,460
business,1098,478
business,1182,529
business,1242,580
business,1282,587
business,1441,675
business,1539,724
visit,2513,955
visit,1993,743
visit,1973,641
visit,1818,588
visit,2015,670
visit,2209,784
visit,2297,803
visit,2553,864
holiday,2816,1550
holiday,2520,1472
holiday,2728,1457
holiday,2832,1513
holiday,3059,1687
holiday,3324,1823
holiday,4001,2330
holiday,4388,2547
other,460,378
other,589,301
other,705,324
other,685,287
other,670,324
other,789,353
other,904,400
other,1105,443
